time [s],a_c [km],e_c [-],i_c [deg],RAAN_c [deg],ARGP_c [deg],TA_c [deg],a_d [km],e_d [-],i_d [deg],RAAN_d [deg],ARGP_d [deg],TA_d [deg],delta_a [km],delta_e [-],delta_i [deg],delta_RAAN [deg],delta_ARGP [deg],delta_TA [deg]
4988.0,8499.999999999845,0.19999999999997306,52.99999999999977,55.000000000000085,40.0000000000054,-144.7666120371813,8503.705825413,0.20161405075006725,53.11992965418214,55.07671239667984,40.05213238571573,-145.03488756678505,-3.705825413155253,-0.001614050750094187,-0.11992965418236423,-0.07671239667975271,-0.05213238571032974,0.26827552960375556
4989.0,8499.999999999844,0.19999999999997314,52.99999999999976,55.00000000000009,40.000000000005436,-144.7322588044039,8503.705899217724,0.20161404098446917,53.11992956409881,55.07671197536922,40.052131314714174,-145.00067339214047,-3.7058992178808694,-0.0016140409844960235,-0.11992956409905275,-0.07671197536912899,-0.05213131470873833,0.26841458773657223
4990.0,8499.999999999845,0.19999999999997306,52.99999999999977,55.00000000000009,40.0000000000054,-144.6978998851123,8503.70597356172,0.20161403114763551,53.11992947353539,55.076711550797135,40.052130234996945,-144.96645354608623,-3.7059735618749983,-0.0016140311476624536,-0.11992947353562045,-0.07671155079704306,-0.052130234991544455,0.26855366097393585
4991.0,8499.999999999845,0.1999999999999731,52.999999999999766,55.00000000000009,40.000000000005436,-144.66353527307166,8503.706048448244,0.20161402123913422,53.11992938249062,55.076711122942086,40.052129146503894,-144.93222802231406,-3.7060484483990876,-0.0016140212391611286,-0.11992938249085228,-0.07671112294199389,-0.05212914649845857,0.2686927492424047
4992.0,8499.999999999842,0.1999999999999732,52.99999999999977,55.00000000000009,40.000000000005436,-144.6291649620445,8503.706123880575,0.20161401125853132,53.119929290963235,55.076710691782544,40.05212804917451,-144.8979968145121,-3.7061238807327754,-0.0016140112585581179,-0.11992929096346217,-0.07671069178245205,-0.05212804916907743,0.2688318524675992
4993.0,8499.999999999845,0.19999999999997303,52.99999999999977,55.00000000000009,40.00000000000543,-144.5947889457902,8503.706199861988,0.20161400120539077,53.119929198951986,55.076710257296796,40.05212694294799,-144.8637599163656,-3.7061998621429666,-0.0016140012054177422,-0.11992919895221377,-0.07671025729670333,-0.05212694294256437,0.26897097057539554
4994.0,8499.999999999844,0.19999999999997303,52.999999999999766,55.00000000000009,40.000000000005386,-144.56040721806568,8503.706276395797,0.20161399107927422,53.119929106455665,55.07670981946305,40.05212582776301,-144.82951732155612,-3.7062763959529548,-0.0016139910793011858,-0.11992910645589916,-0.07670981946295541,-0.05212582775762087,0.2691101034904477
4995.0,8499.999999999844,0.19999999999997317,52.99999999999977,55.00000000000009,40.00000000000543,-144.52601977262484,8503.706353485313,0.20161398087974192,53.119929013473026,55.076709378259395,40.05212470355822,-144.7952690237624,-3.7063534854696627,-0.001613980879768745,-0.11992901347325358,-0.07670937825930224,-0.052124703552792084,0.26924925113755194
4996.0,8499.999999999845,0.19999999999997303,52.99999999999977,55.00000000000009,40.0000000000054,-144.4916266032187,8503.706431133869,0.20161397060635106,53.11992892000284,55.076708933663824,40.052123570271554,-144.76101501665946,-3.70643113402366,-0.0016139706063780235,-0.1199289200030691,-0.07670893366373122,-0.05212357026615422,0.26938841344076536
4997.0,8499.999999999844,0.19999999999997317,52.999999999999766,55.00000000000009,40.00000000000537,-144.45722770359563,8503.706509344811,0.20161396025865808,53.11992882604393,55.07670848565418,40.052122427841,-144.7267552939195,-3.706509344967344,-0.0016139602586849044,-0.11992882604416621,-0.07670848565408761,-0.05212242783562715,0.269527590323861
4998.0,8499.999999999845,0.19999999999997328,52.999999999999766,55.00000000000009,40.00000000000543,-144.4228230675011,8503.706588121498,0.20161394983621642,53.11992873159507,55.07670803420821,40.052121276203884,-144.6924898492111,-3.7065881216531125,-0.0016139498362431337,-0.11992873159530149,-0.07670803420811723,-0.052121276198455746,0.2696667817100149
4999.0,8499.999999999842,0.1999999999999733,52.999999999999766,55.00000000000009,40.000000000005436,-144.38841268867762,8503.706667467313,0.201613939338578,53.11992863665507,55.07670757930352,40.0521201152975,-144.65821867619985,-3.7066674674715614,-0.0016139393386046808,-0.11992863665530251,-0.07670757930343086,-0.05212011529206251,0.2698059875222327
5000.0,8499.999999999847,0.1999999999999733,52.99999999999977,55.000000000000085,40.00000000000544,-144.35399656086508,8503.706747385642,0.20161392876529238,53.11992854122277,55.07670712091764,40.052118945058524,-144.6239417685478,-3.706747385795097,-0.0016139287653190726,-0.1199285412229969,-0.07670712091755405,-0.052118945053081234,0.26994520768272423
5001.0,8499.999999999842,0.1999999999999733,52.999999999999766,55.00000000000009,40.00000000000549,-144.3195746778004,8503.706827879887,0.20161391811590734,53.119928445296964,55.07670665902796,40.05211776542348,-144.589659119914,-3.706827880045239,-0.0016139181159340321,-0.11992844529719804,-0.07670665902787022,-0.0521177654179894,0.2700844421135855
5002.0,8499.999999999844,0.19999999999997337,52.999999999999766,55.00000000000009,40.00000000000548,-144.2851470332176,8503.70690895348,0.2016139073899682,53.11992834887653,55.07670619361178,40.05211657632837,-144.55537072395384,-3.70690895363623,-0.0016139073899948397,-0.11992834887676196,-0.07670619361168463,-0.052116576322895014,0.27022369073623054
5003.0,8499.999999999842,0.19999999999997317,52.999999999999766,55.000000000000085,40.00000000000543,-144.250713620848,8503.706990609851,0.20161389658701862,53.11992825196029,55.07670572464622,40.05211537770908,-144.5210765743197,-3.7069906100095977,-0.0016138965870454436,-0.11992825196052337,-0.07670572464613201,-0.05211537770365027,0.2703629534717038
5004.0,8499.999999999844,0.19999999999997337,52.99999999999977,55.00000000000009,40.000000000005464,-144.21627443442011,8503.707072852454,0.2016138857066,53.11992815454711,55.07670525210833,40.05211416950098,-144.4867766646606,-3.7070728526105086,-0.0016138857066266277,-0.1199281545473383,-0.07670525210824053,-0.052114169495517615,0.27050223024048137
5005.0,8499.999999999844,0.1999999999999733,52.999999999999766,55.000000000000085,40.000000000005436,-144.18182946765936,8503.707155684753,0.2016138747482518,53.11992805663586,55.07670477597507,40.052112951639145,-144.45247098862228,-3.707155684909594,-0.001613874748278482,-0.11992805663609118,-0.07670477597498149,-0.05211295163370977,0.2706415209629256
5006.0,8499.999999999842,0.19999999999997323,52.999999999999766,55.00000000000009,40.00000000000544,-144.1473787142886,8503.707239110232,0.20161386371151097,53.119927958225404,55.076704296223184,40.05211172405829,-144.418159539847,-3.707239110390219,-0.0016138637115377386,-0.11992795822563806,-0.07670429622309172,-0.052111724052849695,0.2707808255584041
5007.0,8499.999999999845,0.1999999999999733,52.999999999999766,55.000000000000085,40.000000000005436,-144.11292216802764,8503.707323132387,0.20161385259591305,53.11992785931465,55.0767038128294,40.05211048669292,-144.38384231197404,-3.7073231325412053,-0.001613852595939741,-0.1199278593148847,-0.07670381282931515,-0.052110486687482194,0.2709201439463982
5008.0,8499.999999999844,0.19999999999997345,52.99999999999977,55.00000000000009,40.000000000005485,-144.07845982259354,8503.707407754735,0.2016138414009908,53.11992775990251,55.07670332577027,40.052109239476884,-144.34951929863905,-3.707407754891392,-0.001613841401017363,-0.11992775990273685,-0.07670332577017547,-0.052109239471398894,0.27105947604550806
5009.0,8499.999999999844,0.19999999999997317,52.999999999999766,55.00000000000009,40.00000000000537,-144.0439916717003,8503.707492980799,0.2016138301262758,53.11992765998786,55.07670283502222,40.05210798234398,-144.31519049347452,-3.7074929809550667,-0.0016138301263026178,-0.11992765998809318,-0.07670283502212527,-0.05210798233861169,0.2711988217742203
