time [s],ax [km/s^2],ay [km/s^2],az [km/s^2],dvx [km/s],dvy [km/s],dvz [km/s],sum_dvx [km/s],sum_dvy [km/s],sum_dvz [km/s]
129.0,-2.9069563740421994e-13,4.165099040478583e-15,0.0,-2.9069563740421994e-13,4.165099040478583e-15,0.0,-2.2352326471115148e-11,9.633771436197099e-14,0.0
130.0,-3.092482091057617e-13,4.464889405084845e-15,0.0,-3.092482091057617e-13,4.464889405084845e-15,0.0,-2.266157468022091e-11,1.0080260376705583e-13,0.0
131.0,-3.2897439071516357e-13,4.785819511909483e-15,0.0,-3.2897439071516357e-13,4.785819511909483e-15,0.0,-2.2990549070936072e-11,1.0558842327896532e-13,0.0
132.0,-3.4993704210390577e-13,5.1291956152328905e-15,0.0,-3.4993704210390577e-13,5.1291956152328905e-15,0.0,-2.334048611303998e-11,1.1071761889419822e-13,0.0
133.0,-3.722018662848419e-13,5.496393333945338e-15,0.0,-3.722018662848419e-13,5.496393333945338e-15,0.0,-2.371268797932482e-11,1.1621401222814355e-13,0.0
134.0,-3.958375128783106e-13,5.8888607303040355e-15,0.0,-3.958375128783106e-13,5.8888607303040355e-15,0.0,-2.410852549220313e-11,1.221028729584476e-13,0.0
135.0,-4.2091568441762017e-13,6.308121497118848e-15,0.0,-4.2091568441762017e-13,6.308121497118848e-15,0.0,-2.452944117662075e-11,1.2841099445556643e-13,0.0
136.0,-4.475112455589387e-13,6.755778257962387e-15,0.0,-4.475112455589387e-13,6.755778257962387e-15,0.0,-2.497695242217969e-11,1.3516677271352882e-13,0.0
137.0,-4.757023352397932e-13,7.233515981841284e-15,0.0,-4.757023352397932e-13,7.233515981841284e-15,0.0,-2.5452654757419483e-11,1.424002886953701e-13,0.0
138.0,-5.055704818392454e-13,7.743105516351971e-15,0.0,-5.055704818392454e-13,7.743105516351971e-15,0.0,-2.5958225239258728e-11,1.5014339421172207e-13,0.0
139.0,-5.372007213815295e-13,8.28640724129602e-15,0.0,-5.372007213815295e-13,8.28640724129602e-15,0.0,-2.6495425960640257e-11,1.584298014530181e-13,0.0
140.0,-5.706817188488453e-13,8.865374846356127e-15,0.0,-5.706817188488453e-13,8.865374846356127e-15,0.0,-2.7066107679489102e-11,1.6729517629937422e-13,0.0
141.0,-6.061058926516517e-13,9.482059237079439e-15,0.0,-6.061058926516517e-13,9.482059237079439e-15,0.0,-2.7672213572140755e-11,1.7677723553645367e-13,0.0
142.0,-6.43569542291161e-13,1.0138612569060847e-14,0.0,-6.43569542291161e-13,1.0138612569060847e-14,0.0,-2.8315783114431915e-11,1.8691584810551452e-13,0.0
143.0,-6.831729792895015e-13,1.0837292417230279e-14,0.0,-6.831729792895015e-13,1.0837292417230279e-14,0.0,-2.8998956093721416e-11,1.977531405227448e-13,0.0
144.0,-7.250206614268628e-13,1.1580466080890068e-14,0.0,-7.250206614268628e-13,1.1580466080890068e-14,0.0,-2.972397675514828e-11,2.0933360660363487e-13,0.0
145.0,-7.692213303371955e-13,1.2370615029166277e-14,0.0,-7.692213303371955e-13,1.2370615029166277e-14,0.0,-3.049319808548548e-11,2.2170422163280114e-13,0.0
146.0,-8.158881525203251e-13,1.3210339489081094e-14,0.0,-8.158881525203251e-13,1.3210339489081094e-14,0.0,-3.1309086238005804e-11,2.3491456112188223e-13,0.0
147.0,-8.651388638234801e-13,1.4102363180973252e-14,0.0,-8.651388638234801e-13,1.4102363180973252e-14,0.0,-3.217422510182929e-11,2.490169243028555e-13,0.0
148.0,-9.170959174300125e-13,1.504953820265907e-14,0.0,-9.170959174300125e-13,1.504953820265907e-14,0.0,-3.30913210192593e-11,2.640664625055146e-13,0.0
149.0,-9.71886635439209e-13,1.6054850068650964e-14,0.0,-9.71886635439209e-13,1.6054850068650964e-14,0.0,-3.406320765469851e-11,2.8012131257416557e-13,0.0
150.0,-1.0296433640491889e-12,1.712142290435841e-14,0.0,-1.0296433640491889e-12,1.712142290435841e-14,0.0,-3.5092851018747696e-11,2.97242735478524e-13,0.0
151.0,-1.0905036324328064e-12,1.825252480202049e-14,0.0,-1.0905036324328064e-12,1.825252480202049e-14,0.0,-3.6183354651180504e-11,3.1549526028054447e-13,0.0
152.0,-1.15461031533894e-12,1.945157333978686e-14,0.0,-1.15461031533894e-12,1.945157333978686e-14,0.0,-3.7337964966519443e-11,3.349468336203313e-13,0.0
153.0,-1.2221117994726408e-12,2.0722141268637192e-14,0.0,-1.2221117994726408e-12,2.0722141268637192e-14,0.0,-3.8560076765992084e-11,3.556689748889685e-13,0.0
154.0,-1.293162153727502e-12,2.206796237092785e-14,0.0,-1.293162153727502e-12,2.206796237092785e-14,0.0,-3.985323891971959e-11,3.7773693725989635e-13,0.0
