time,chief_r_x,chief_r_y,chief_r_z,chief_v_x,chief_v_y,chief_v_z,deputy_r_x,deputy_r_y,deputy_r_z,deputy_v_x,deputy_v_y,deputy_v_z,deputy_rho_x,deputy_rho_y,deputy_rho_z,deputy_rho_dot_x,deputy_rho_dot_y,deputy_rho_dot_z
5491.0,4872.31406503765,-2746.6169297626193,-7387.075653868359,2.7560619699219933,5.490717821753148,1.1833425409098954,4847.27027658641,-2775.934988411157,-7415.27345219536,2.7612179994102286,5.479074059863535,1.1633487593687057,18.00236101659574,-39.50721052775135,-19.923630380627735,-0.00414155740595739,-0.019852686608993503,-0.003325706351418255
5492.0,4875.068905910762,-2741.125524173573,-7385.890460430276,2.7536193982882327,5.492092980916354,1.1870444604191643,4850.030287385101,-2770.4552232969504,-7414.108256321783,2.758803222252085,5.480455797308156,1.1670431150941638,17.998216415977584,-39.52706050077694,-19.9269507784744,-0.0041476442966038515,-0.019847258261445434,-0.003315088464850497
5493.0,4877.821303078092,-2735.6327445519996,-7384.701564697359,2.7511745582511753,5.493465886440679,1.1907471304161248,4852.787882281675,-2764.9740775594246,-7412.939365710707,2.756386195066438,5.481835306137993,1.170738234211982,17.994065728293307,-39.546905040688124,-19.930260554272227,-0.004153731538776961,-0.01984182038062468,-0.0033044622535450866
5494.0,4880.571254270913,-2730.138593152639,-7383.5089659196055,2.7487274491642233,5.49483653612355,1.194450549927149,4855.543059025781,-2759.4915534282864,-7411.76677959921,2.7539669172066517,5.4832125841682995,1.1744341157776244,17.989908953197755,-39.56674413794887,-19.933559699692452,-0.004159819120601847,-0.019836372960401766,-0.0032938277081836116
5495.0,4883.318757219854,-2724.6430722324344,-7382.3126633479915,2.7462780703811704,5.496204927760183,1.1981547179764975,4858.295815366423,-2754.007653135429,-7410.590497225318,2.7515453880264533,5.484587629212097,1.1781307588444736,17.985746090356027,-39.58657778301638,-19.936848206394696,-0.004165907030172555,-0.01983091599467793,-0.0032831848194409935
5496.0,4886.063809654895,-2719.1461840505362,-7381.112656234466,2.7438264212562062,5.497571059143576,1.2018596335863159,4861.0461490519565,-2748.522378914933,-7409.410517828004,2.7491216068799362,5.485960439080178,1.1818281624638278,17.98157713944631,-39.60640596634264,-19.94012606603222,-0.004171995255553472,-0.019825449477389748,-0.0032725335779863
5497.0,4888.806409305371,-2713.6479308683015,-7379.908943831959,2.741372501143918,5.498934928064513,1.2055652957766292,4863.794057830092,-2743.03573300307,-7408.22684064719,2.746695573121561,5.487331011581103,1.1855263256848958,17.977402100158752,-39.626228678373316,-19.943393270247558,-0.004178083784779282,-0.0198199734025076,-0.003261873974482846
5498.0,4891.546553899972,-2708.1483149492983,-7378.70152539438,2.738916309399294,5.500296532311557,1.209271703565339,4866.5395394478965,-2737.5477176383038,-7407.039464923751,2.7442672861061608,5.4886993445212,1.189225247554793,17.97322097219599,-39.64604590954718,-19.946649810673442,-0.004184172605853156,-0.019814487764036055,-0.0032512059995872156
5499.0,4894.284241166744,-2702.6473385593076,-7377.490400176624,2.7364578453777257,5.501655869671056,1.212978855968219,4869.2825916517895,-2732.058335061293,-7405.848389899516,2.741836745188941,5.49006543570456,1.1929249271185378,17.9690337552724,-39.665857650297454,-19.94989567893383,-0.00419026170674933,-0.01980899255601285,-0.003240529643951074
5500.0,4897.019468833088,-2697.145003966324,-7376.275567434568,2.7339971084350125,5.503012937927134,1.2166867519989109,4872.023212187547,-2726.5675875148927,-7404.653614817269,2.7394039497254834,5.491429282933041,1.1966253634190465,17.964840449113538,-39.68566389105215,-19.95313086664312,-0.00419635107541215,-0.019803487772511754,-0.0032298448982201167
